Facility,Department,Casper ID,Date,Time,Shipment/Bag ID,Seal ID,PTC Code,Device #
KatargaamHub_STV,LM-OFD,Subhash Chandra Mahato (126398) | LAST_MILE | TRUEFLEX,13-02-2024,09:26 AM,FMPC3454456875,,,3WBYWF3
YogiChowkTempHub_STV_PL  Station7,FM-RETURN,ca.2313748,13-03-2024,02:33 PM,FMPC3500846151,,,NA
MalviyaNagarhub_JAI,LM-PRC,amankumar.s.vc,18-03-2024,06:29 AM,OIPC0014609075,,,2S5KPP3
JasolaHub_DEL_PL  Station2,FM-RETURN,mukesh.kumar.vc,18-03-2024,02:49 PM,FMPP2147243600,,,NA
KatargaamHub_STV,LM-INSCAN,patel.b1,08-02-2024,02:43 PM,FMPP2147378432,,,NA
TirupurHub_TPR_PL  Station2,FM-RETURN,simon.tendulkar,15-03-2024,07:17 PM,OIPC0014577659,,,e4:a8:df:8b:03:f6
KatargaamHub_STV,LM-OFD,Kokani Girishbhai Bhangubhai (71679) | LAST_MILE,07-02-2024,04:04 PM,FMPC3445923865,,,NA
KatargaamHub_STV,LM-FORWARD,manav.sharma,16-02-2024,11:56 PM,FMPP2164699475,,,NA
Motherhub_STV,MH-SECONDARY OUT,ERP_USER,14-03-2024,04:15 AM,FMPP2182439997,SLD03878008-24,,H4050C200800680
MotherHub_JJH,MH-SECONDARY OUT,ERP_USER,17-03-2024,02:49 PM,OIPC0014928774,SLC48707526-23,,H4050C210701661
KatargaamHub_STV,LM-PRC,manav.sharma,15-02-2024,02:40 PM,FMPC3463635820,,,NA
KatargaamHub_STV,LM-PRC,patel.b1,28-03-2024,07:32 PM,FMPC3459728928,,,C96QMF3
FortHub_MUM_PL  Station1,FM-RETURN,santosh.kuntla,18-03-2024,01:35 AM,FMPP2155541367,,,NA
KatargaamHub_STV,LM-RETURN,patel.b1,11-03-2024,08:53 PM,FMPC3439192865,EBHI_VAS-783918,,C96QMF3
KatargaamHub_STV,LM-PRC,patel.b1,14-02-2024,02:45 PM,FMPP2158442160,,,NA
frk_bts,RC-RBM,1309263,20-03-2024,09:13 AM,FMPC3445734850,,,H4050C190500538
Motherhub_JAI_BTS,MH-SECONDARY OUT,ERP_USER,14-03-2024,10:59 PM,FMPP2167458020,SLD05397757-24,,01602336000811
KatargaamHub_STV,LM-RETURN,patel.b1,11-03-2024,08:53 PM,FMPP2156347667,EBHI_VAS-783918,,C96QMF3
UttamNagarHub_DEL_PL  Station1,FM-RETURN,545808,09-03-2024,05:26 PM,FMPR0548591469,,,98:ee:cb:88:da:de
KatargaamHub_STV,LM-OFD,RITUL  PITHADIYA  (2159031) | LAST_MILE,18-02-2024,02:40 PM,FMPP2166468123,,,NA
Jhotawarahub_JAI_PL  Station1,FM-RETURN,aekta.kaushik,18-03-2024,03:24 PM,FMPC3506939994,,,98:ee:cb:b8:eb:49
BurariHub_DEL_PL  Station1,FM-RETURN,ca.2443094,09-03-2024,03:31 AM,FMPP2180952151,,,NA
KatargaamHub_STV,LM-OFD,Shah Sohel Firoz (1790927) | LAST_MILE,28-02-2024,02:21 PM,FMPP2184820120,,,NA
KatargaamHub_STV,LM-OFD,Karan Jalandharbhai Nayak (1966704) | LAST_MILE,20-02-2024,04:28 PM,FMPC3473265831,,,NA
KatargaamHub_STV,LM-RETURN,patel.b1,09-03-2024,10:44 PM,FMPP2179205043,EBHI_VAS-781301,,C96QMF3
Motavarachahub_STV_PL  Station19,FM-RETURN,ca.2446216,13-03-2024,03:03 PM,FMPP2151447417,,,NA
KatargaamHub_STV,LM-INSCAN,manav.sharma,07-02-2024,03:43 PM,FMPP2148998846,,,NA
KatargaamHub_STV,LM-RETURN,patel.b1,10-03-2024,06:02 PM,FMPP2178137297,EBHI_VAS-778643,,C96QMF3
MotherHub_CJB,MH-PRIMARY,ca 2961751,25-03-2024,11:26 PM,FMPC3494164396,,,8CN1150FBM
KatargaamHub_STV,LM-PRC,manav.sharma,20-02-2024,09:13 PM,FMPC3464020257,,,NA
KatargaamHub_STV,LM-INSCAN,manav.sharma,17-02-2024,05:09 PM,FMPC3465467626,,,NA
KatargaamHub_STV,LM-OFD,Chandresh Pravinchandra Suchak (2645475) | LAST_MILE,18-02-2024,02:33 PM,FMPP2169456110,,,NA
CanttHissarHub_HSS_PL  Station1,FM-RETURN,ca.2877224,19-03-2024,05:44 AM,FMPC3452880992,,,NA
KatargaamHub_STV,LM-RETURN,patel.b1,09-03-2024,10:45 PM,FMPC3448567151,EBHI_VAS-781301,,C96QMF3
MotherHub_JJH,MH-SECONDARY OUT,ERP_USER,15-03-2024,03:00 PM,TPXC5000072670,SPJ57575067-24,,H4050C210501600
MotherHub_JJH,MH-SECONDARY OUT,ERP_USER,16-03-2024,10:49 AM,FMPC3460460920,SLD06559907-24,,H4050C210600542
TopsiaHub_KOL_PL  Station1,FM-RETURN,abhishek.das3,18-03-2024,08:23 AM,FMPC3437668682,,,e4:a8:df:8b:03:b5
NajafgarhHub_DEL_PL  Station1,FM-RETURN,ca.2985301,28-03-2024,07:26 AM,FMPP2164188928,,,NA
MotherHub_ULB,MH-SECONDARY IN,2570874,27-03-2024,12:53 PM,OIPC0015654408,,,H4050C200500429
Motherhub_STV,,,16-02-2024,08:38 AM,FMPP2164944693,,,H4050C210501936
MedchalHub_HYD_PL  Station1,FM-RETURN,ramakurivikram.vc,13-03-2024,06:01 PM,NAPC0011131955,,,8CN1210954
KatargaamHub_STV,LM-PRC,patel.b1,15-02-2024,10:24 PM,FMPP2156602830,,,NA
KatargaamHub_STV,LM-RETURN,patel.b1,27-03-2024,07:41 PM,FMPP2181482857,EBHI_VAS-814534,,3WBYWF3
KatargaamHub_STV,LM-INSCAN,patel.b1,14-02-2024,07:18 AM,MYSP1072058350,,,3WBYWF3
MotherHub_JJH,MH-SECONDARY OUT,ERP_USER,16-03-2024,06:15 AM,FMPP2146133898,SPJ57338284-24,,68242129960692
Motherhub_SAI_4,MH-SECONDARY OUT,2847868,05-02-2024,04:40 AM,FMPP2147285132,SPI41053051-23,,H4050C210400079
KatargaamHub_STV,LM-PRC,manav.sharma,19-02-2024,11:40 AM,FMPC3459449907,,,NA
PatliputraHub_PAT,LM-FORWARD,kumar.sumit,02-02-2024,07:06 AM,FMPP2137802803,,,98:ee:cb:a2:6f:60
Motherhub_STV,MH-SECONDARY OUT,ERP_USER,12-03-2024,04:47 PM,FMPC3449583986,SLD03829297-24,,H4050C200700377
Motherhub_SAI_4,MH-SECONDARY IN,2956889,13-02-2024,06:59 PM,FMPC3466587765,,,H4050C210800135
KatargaamHub_STV,LM-OFD,RITUL  PITHADIYA  (2159031) | LAST_MILE,28-02-2024,10:18 AM,FMPC3495324006,,,NA
Sewrihub_Mum_PL  Station1,FM-RETURN,ca.2913874,23-03-2024,06:57 AM,FMPP2180479595,,,NA
KatargaamHub_STV,LM-INSCAN,manav.sharma,15-02-2024,02:10 PM,FMPC3468795440,,,NA
KatargaamHub_STV,LM-INSCAN,anghan.j,20-02-2024,10:35 AM,MYSR1029961340,,,C96QMF3
Motherhub_STV,,,19-02-2024,09:18 PM,117006428,,,H4050C210702670
Motherhub_MAL,MH-SECONDARY OUT,ERP_USER,06-02-2024,05:06 AM,B-14430293653966471,SLD00929308-24,,01602336002061
Motherhub_ANJ,MH-SECONDARY OUT,ERP_USER,11-02-2024,03:47 AM,S8076087486,SLD01186207-24,,01602336002031
MotherHub_BTS,MH-SEMI LARGE TAGGING,2759013,09-02-2024,08:59 PM,S8209499917,,,H4050C200800360
Motherhub_SAI_4,MH-SECONDARY OUT,ERP_USER,10-02-2024,12:22 PM,A-16957376879994148,BNC00307953-24,,H4050C210800025
Motherhub_HRN,MH-SECONDARY IN,2721031,04-02-2024,05:18 AM,F-2611622946530618,,,H4050C190600332
Motherhub_JKS,MH-SECONDARY IN,2980209,16-03-2024,05:46 PM,D-16913962157425011,,,H4050C180800868
Motherhub_SAI_4,MH-SECONDARY IN,2872316,09-02-2024,03:32 AM,S8206614847,,,H4050C210500379
Motherhub_SAI_4,MH-SECONDARY IN,2957688,09-02-2024,06:34 PM,S8208790037,,,H4050C210800843
Motherhub_MAL,MH-SECONDARY OUT,ERP_USER,16-02-2024,01:13 AM,S8778100233,SLC52987852-23,,H4050C210702476
Motherhub_JAI_BTS,MH-SECONDARY IN,2845309,16-02-2024,11:50 PM,D-3732890170648121,,,01602336000704
Motherhub_SAI_4,MH-SECONDARY OUT,ERP_USER,23-02-2024,01:45 PM,S9340783752,SLD03324771-24,,H4050C210800562
Motherhub_SAI_4,MH-SECONDARY IN,2763329,24-02-2024,03:41 AM,S9343928252,,,H4050C210500673
Motherhub_SAI_4,MH-SECONDARY IN,2763329,26-02-2024,03:54 AM,C-18908574849988185,,,H4050C210500407
MotherHub_CJB,MH-PRIMARY,2811336,22-03-2024,02:37 AM,B-17447324069710422,,,01602336002001
Motherhub_STV,MH-SECONDARY IN,2816170,27-02-2024,03:50 AM,C-4601056816195942,,,H4050C210500698
Motherhub_JAI_BTS,MH-SECONDARY OUT,ERP_USER,17-03-2024,05:12 AM,H-4983659136729921,SLD05629144-24,,01602336000908
Motherhub_SAI_4,MH-SECONDARY OUT,ERP_USER,26-02-2024,12:51 AM,S8259395597,BNC01255011-24,,H4050C210500614
Motherhub_SAI_4,MH-SECONDARY IN,2763329,26-02-2024,12:25 AM,S9350121382,,,H4050C210500407
Motherhub_MAL,MH-SECONDARY IN,2494094,05-02-2024,08:56 PM,S8750253433,,,01602336002049
Motherhub_STV,MH-SECONDARY OUT,2636828,15-02-2024,10:17 AM,G-17854371348068480,BNC01463958-24,,H4050C210701243
